Região;Local;Longitude;Latitude;Referência;;;;;;;;;;;;;;;;;
América do Sul;    lagoa santa/mg;-43,55;-19,39; Chaves N.B. and Tidon R. (2008); Biogeographical aspects of dro ...; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;
América do Sul;    paulo de faria;-49,31;-19,55; Penariol L. et al. (2008); On the use of open or closed t ...;;;;;;;;;;;;;;;;
América do Sul;    correias/rj;-41,24;-19,56; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;;;
América do Sul;    santa teresa/es;-40,37;-19,56; Sene F.M. et al. (1980); Preliminary data on the geogra ... ;;;;;;;;;;;;;;;;
América do Sul;    tainhas;-50;-20; Napp M. and Cordeiro A.R. (1978); Heterosis in a Wild Strain of ...;;;;;;;;;;;;;;;;
América do Sul;    miranda/ms;-56,46;-20,05; Sene F.M. et al. (1980); Preliminary data on the geogra ...;;;;;;;;;;;;;;;;
América do Sul;    miranda/mg;-56,19;-20,1; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;;;;;
América do Sul;    campo grande/ms;-54,34;-20,41; Chaves N.B. and Tidon R. (2008); Biogeographical aspects of dro ...; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;
América do Sul;    olimpia;-48,55;-20,43; Belo M. (1979);" Especies domesticas de ""Drosop ..."; Belo M. and Gallo A.J. (1977); Domestic Drosophila species. I ...; Belo M. and Lemos M.V.F. (1978); Domestic Drosophila species. I ...; Belo M. and de Oliveira J.J. (1976); Especies domesticas de Drosoph ...; Belo M. and de Oliveira J.J. (1978);" Especies domesticas de ""Drosop ...";;;;;;;;
América do Sul;    sao jose do rio preto;-49,23;-20,49; Ferreira Lourenco M. (1993); Abundance and Diversity in Nat ...; Torres F.R. and Madi-Ravazzi L. (2006); Seasonal variation in natural ...;;;;;;;;;;;;;;
América do Sul;    sertaozinho/sp;-47,59;-21,08; Brisson J.A. et al. (2005); Abdominal pigmentation variati ...; Tidon-Sklorz R. and de Melo Sene F. (1992); Vertical and temporal distribu ...;;;;;;;;;;;;;;
América do Sul;    serrana/sp;-47,35;-21,13; Mateus R.P. et al. (2006); The Drosophila community in xe ...;;;;;;;;;;;;;;;;
América do Sul;    jaboticabal;-48,17;-21,15; Pires D.J. and Belo M. (2005); Flies collected in orchards. ...;;;;;;;;;;;;;;;;
América do Sul;    novo horizonte;-49,14;-21,29; Torres F.R. and Madi-Ravazzi L. (2006); Seasonal variation in natural ...;;;;;;;;;;;;;;;;
América do Sul;    pe de gigante;-47,37;-21,37; Brisson J.A. et al. (2005); Abdominal pigmentation variati ...;;;;;;;;;;;;;;;;
América do Sul;    pocos de caldas;-46,33;-21,48; Napp M. and Cordeiro A.R. (1978); Genetic variability and disequ ... ;;;;;;;;;;;;;;;;
América do Sul;    morro do ferro;-46,3;-21,5; Napp M. and Cordeiro A.R. (1978); Genetic variability and disequ ...;;;;;;;;;;;;;;;;
América do Sul;    pirassununga;-47,25;-21,58; da Cunha A.B. (1949); Genetic analysis of the polymo ...; da Cunha A.B. et al. (1953); A comparative study of chromos ...; Heed W.B. and Blake P.R. (1963); A new color allele at the e lo ...;;;;;;;;;;;;
América do Sul;    piracununga;-47,27;-21,59; Heed W.B. (1963); Density and distribution of Dr ...; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...; Pavan C. (1952); Relacoes entre populacoes natu ...; Pavan C. (1959); Relacoes entre populacoes natu ...;;;;;;;;;;
América do Sul;    sao paulo estado;-48;-22; Tidon-Sklorz R. and Sene F.M. (1999); Drosophila. In: Brandao C.R.F ...;;;;;;;;;;;;;;;;
América do Sul;    araras;-47;-22; da Cunha A.B. (1946); Polymorphism in Natural Popula ...; da Cunha A.B. (1949); Genetic analysis of the polymo ...; da Cunha A.B. (1951); Contribuicao ao estudo do poli ...; Dobzhansky T. and Pavan C. (1943); Studies on Brazilian species o ...; Streisinger G. (1946); The cardini species group of t ...; da Cunha A.B. (1949); Genetic analysis of the polymo ...; da Cunha A.B. (1951); Contribuicao ao estudo do poli ... ; Pires D.J. and Belo M. (2005); Flies collected in orchards. ...;;
América do Sul;    pinheiral;-44;-22; da Cunha A.B. (1951); Contribuicao ao estudo do poli ...;;;;;;;;;;;;;;;;
América do Sul;    sao carlos/sp;-45,53;-22,03; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;;;
América do Sul;    bela vista/ms;-56,32;-22,05; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;;;
América do Sul;    caracol/ms;-56,47;-22,13; Chaves N.B. and Tidon R. (2008); Biogeographical aspects of dro ...; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;
América do Sul;    itirapina;-47,48;-22,16; Mateus R.P. et al. (2006); The Drosophila community in xe ...;;;;;;;;;;;;;;;;
América do Sul;    brotas;-47,57;-22,17; Pires D.J. and Belo M. (2005); Flies collected in orchards. ...;;;;;;;;;;;;;;;;
América do Sul;    mogi-guacu/sp;-47,12;-22,17; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Sene F.M. et al. (1981); Influence of different ways to ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;
América do Sul;    serra da bocaina/sp;-45,17;-22,23; da Cunha A.B. (1951); Contribuicao ao estudo do poli ...; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;
