Região;Local;Longitude;Latitude;Referências;;;;;;;;;
América do Sul;    mira serra/ba;-40.53;-11.46 ;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    piritiba/ba; -40.45;-11.47;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    barreiras/ba;-45,15;-12,06;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    barreiras/ba;-45.05;-12.07;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ... ;;;;;;;;;
América do Sul;    barreiras/ba;-45.05;-12.07;Sene F.M. et al. (1980), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    barreiras/ba;-45.05;-12.07 ;Sene F.M. et al. (1980), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    barreiras/ba; -45.05;-12.07;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    barreiras/ba;-45.05;-12.07;Sene F.M. et al. (1980), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    ibotirama/ba; -43.07;-12.18;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    cachoeira/monteiros/ba;-51.38;-12.25; Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    vilhena/ro;-60.16;-12.29;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ... ;;;;;;;;;
América do Sul;    milagres/ba;-39.53;-12.51; Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    parana/to; -47.37;-12.52 ;da Mata R.A. et al. (2008), Drosophilids (Insecta, Diptera ... ;;;;;;;;;
América do Sul;Vale do Paranã; -47.37;-12.52 ;da Mata R.A. et al. (2008);;;;;;;;;
América do Sul;    andarai;-41.2;-12.59;Tidon-Sklorz R. and de Melo Sene F. (1995);;;;;;;;;
América do Sul;    umahuankilia; -72.00;-13.00;Duda O. (1927), Die sudamerikanischen Drosophi ... ;;;;;;;;;
América do Sul;    mucuge/sp; -41.22;-13.00 ;Tidon-Sklorz R. and de Melo Sene F. (1995), Fauna of Drosophila (Diptera, ... ;;;;;;;;;
América do Sul;    mucuge/sp; -41.22;-13.00 ;Tidon-Sklorz R. and de Melo Sene F. (1995);;;;;;;;;
América do Sul;Vale do Paranã;-46,45;-13,39;Mata et al., 2008;;;;;;;;;
América do Sul;    pisco;-76.12;-13.46;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ... ;;;;;;;;;
América do Sul;    pisco;-76.12;-13.46;Napp M. and Cordeiro A.R. (1981), Interspecific relationships in ... ;;;;;;;;;
América do Sul;    pisco;-76.12;-13.46;Yoon J.S. (1984), Drosophila species stock list ... ;;;;;;;;;
América do Sul;    pisco;-76.12;-13.46;Yoon J.S. (1990), Drosophila species stock list ... ;;;;;;;;;
América do Sul;    pisco;-76.12;-13.46;Yoon Z. (1996), Stock List. National Drosophil ... ;;;;;;;;;
América do Sul;    cavalcante/go;-47.30;-13.48;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ... ;;;;;;;;;
América do Sul;    pisco;-76.15;-13.49;Yoon Z. (1996), Stock List. National Drosophil ... ;;;;;;;;;
América do Sul;    tangara da serra/mg; -57.03;-14.04;Blauth M.L. and Gottschalk M.S. (2007), A novel record of Drosophilida ... ;;;;;;;;;
América do Sul;Vale do Paranã;-46,47;-14,31;Mata et al., 2008;;;;;;;;;
América do Sul;    sao joao da alinanca/go;-47.30;-14.36 ;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ... ;;;;;;;;;
América do Sul;    chapada dos guimaraes/mt;-55,58;-14,49;Roque F. and Tidon R. (2008);;;;;;;;;
América do Sul;    fazenda trijuncao/ba;-45,59;-14.49 ;Roque F. and Tidon R. (2008);;;;;;;;;
América do Sul;    fazenda trijuncao/ba; -45.58;-14.49 ;Roque F. and Tidon R. (2008), Eight new records of drosophil ... ;;;;;;;;;
América do Sul;    sarampioni;-75.00;-15.00;Duda O. (1927), Die sudamerikanischen Drosophi ... ;;;;;;;;;
América do Sul;    lorenzopata;-68.00;-15.00;Duda O. (1927), Die sudamerikanischen Drosophi ... ;;;;;;;;;
América do Sul;    chapada dos guimaraes/mt;-55.49;-15.24 ;Roque F. and Tidon R. (2008), Eight new records of drosophil ... ;;;;;;;;;
América do Sul;ESECAE;-47,39;-15,34;Emerich, 2011 (Dissertação de Mestrado);;;;;;;;;
América do Sul;Planaltina;-47,24;-15,35;Emerich et al., 2013;;;;;;;;;
América do Sul;    sobradinho/df;-47.47;-15.37;Roque F. et al. (2009), Breeding sites of drosophilids ... ;;;;;;;;;
América do Sul;    brasilia park;-47.54;-15.40;Tidon R. (2006), Relationships between drosophi ... ;;;;;;;;;
