Região;Local;Longitude;Latitude;Referências;;;;;;;;;
Ilhas do Caribe;    trinidad/west;-61,3;10,3; Heed W.B. (1957); A preliminary note on the card ...;;;;;;;;
Ilhas do Caribe;    trinidad/west;-61,3;10,3; Johnson F.M. et al. (1966); An operational classification ...;;;;;;;;
Ilhas do Caribe;    trinidad/west;-61,3;10,3; Napp M. and Cordeiro A.R. (1981); Interspecific relationships in ... ;;;;;;;;
Ilhas do Caribe;    dominica/west;-61,22;15,25; Heed W.B. (1957); A preliminary note on the card ...;;;;;;;;
Ilhas do Caribe;    dominica/west;-61,22;15,25; Sturtevant A.H. (1916); Notes on North American Drosop ...;;;;;;;;
Ilhas do Caribe;    dominica/west;-61,22;15,25; Sturtevant A.H. (1921); The North American Species of ...;;;;;;;;
Ilhas do Caribe;    saint vincent/west;-61,12;13,15; Vilela C.R. and Bachli G. (1990); Taxonomic studies on Neotropic ...;;;;;;;;
Ilhas do Caribe;    saint lucia/west;-61;14; Heed W.B. (1957); A preliminary note on the card ...;;;;;;;;
Ilhas do Caribe;    martinique;-61;14,35; Davis J.R. and Capy P. (1983); Drosophila community in domest ...;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
