Região;Local;Longitude;Latitude;Referência;;;;;;;;;
América do Sul;    georgetown/guyana;-58,1;6,46; Perez-Salas S. (1970); Consideraciones geneticas sobr ...;;;;;;;;
América do Sul;    georgetown/guyana;-58,1;6,46; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    eldorado/venezuela;-61,37;6,45; Ayala F.J. et al. (1974); Genetic variation in natural p ...;;;;;;;;
América do Sul;    malaga/colombia;-72,45;6,44; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    tame;-71,42;6,27; Atrian-Ventura S. and Gonzalez-Duarte R. (1982); Comparison of some biochemical ...;;;;;;;;
América do Sul;    tame;-71,42;6,27; Ayala F.J. et al. (1971); Polymorphisms in Continental a ...;;;;;;;;
América do Sul;    tame;-71,42;6,27; Corneo G. et al. (1980); Satellite DNA sequences and re ...;;;;;;;;
América do Sul;    betoyes;-71,12;6,27; Ayala F.J. et al. (1971); Polymorphisms in Continental a ...;;;;;;;;
América do Sul;    kanuku;-60;6; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    barinitas;-70,26;5,45; Ayala F.J. et al. (1974); Genetic variation in natural p ...;;;;;;;;
América do Sul;    puerto ayacucho;-67,32;5,39; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    puerto ayacucho;-67,32;5,39; Perez-Salas S. (1970); Consideraciones geneticas sobr ...;;;;;;;;
América do Sul;    puerto ayacucho;-67,32;5,39; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    choco;-76,49;5,15; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    san juan de manapiare;-66,07;5,06; Richmond R.C. and Dobzhansky T. (1976); Genetic differentiation within ...;;;;;;;;
América do Sul;    villeta/colombia;-74,28;5,01; Hunter A.S. (1966); Effects of temperature on Dros ...;;;;;;;;
América do Sul;    sierra nevada de s. m.;-75;5; da Cunha A.B. et al. (1959); Genetics of natural population ...;;;;;;;;
América do Sul;    sierra nevada de s. m.;-75;5; Dobzhansky T. (1957); Genetics of natural population ...;;;;;;;;
América do Sul;    villa cristina;-75;5; Hoenigsberg H.F. et al. (1977); Population Genetics in the Ame ...;;;;;;;;
América do Sul;    guyana;-58;5; Ayala F.J. (1970); Competition Coexistence and ...;;;;;;;;
América do Sul;    skeldon;-58;5; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    melgar;-74,1;4,5; Hoenigsberg H.F. et al. (1977); Population Genetics in the Ame ...;;;;;;;;
América do Sul;    mesitas/colombia;-71,1;4,5; Hoenigsberg H.F. et al. (1977); Poblacion genetica en el tropi ...;;;;;;;;
América do Sul;    mesitas/colombia;-71,1;4,5; Hoenigsberg H.F. et al. (1977); Population Genetics in the Ame ...;;;;;;;;
