Região;Local;Longitude;Latitude;Referência;;;;;;;;;
América do Sul;    xique-xique/ba; -42.40;-10.42 ;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    la merced/peru;-75.16;-11.03 ;Pilares G. L.V. and vasquez E. J.A. (1977), Especies del genero Drosophila ...;;;;;;;;;
América do Sul;    irece/ba; -41.47;-11.20;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    cafarnaum/ba;-41.20;-11.30 ;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    mira serra/ba; -40.53;-11.46;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    piritiba/ba;-40.45;-11.47;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    barreiras/ba; -45.05 ;-12.07 ;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    ibotirama/ba;-43.07;-12.18;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    cachoeira/monteiros/ba;-51.38;-12.25;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    milagres/ba; -39.53;-12.51 ;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
América do Sul;    tangara da serra/mg;-57.03;-14.04 ;Blauth M.L. and Gottschalk M.S. (2007), A novel record of Drosophilida ...;;;;;;;;;
América do Sul;    fazenda trijuncao/ba;-45.58;-14.49;Roque F. and Tidon R. (2008), Eight new records of drosophil ...;;;;;;;;;
América do Sul;    sobradinho/df;-47.47;-15.37;Roque F. et al. (2009), Breeding sites of drosophilids ...;;;;;;;;;
América do Sul;    braganca/brazil; -48.00;-15.40;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;Centro Olímpico UnB ;-47,5;-15,46;Figueiredo (dissertação, 2007);;;;;;;;;
América do Sul;    brasilia/df;-47.59;-15.47;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ...;;;;;;;;;
;    brasilia/df;-47,57;-15,47;Ferreira & Tidon, 2004;;;;;;;;;
América do Sul;Brasília;-47,47;-15,47;Vilela et al., 2002;;;;;;;;;
América do Sul;RECOR ;-47,52;-15,55;Roque & Tidon, 2012;;;;;;;;;
América do Sul;    recor reserve;-47.53;-15.56;Tidon R. (2006), Relationships between drosophi ...;;;;;;;;;
América do Sul;RECOR ;-47,52;-15,56;Figueiredo (dissertação, 2007);;;;;;;;;
América do Sul;    catuni;-43.19;-16.15;da Cunha A.B. et al. (1953), A comparative study of chromos ...;;;;;;;;;
América do Sul;    anapolis; -48.58;-16.19;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
América do Sul;    santa cruz/bolivia; -63.14;-17.45;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ...;;;;;;;;;
América do Sul;    arica/chile;-70.20;-18.30;Brncic D. (1987), A review of the genus Drosophi ...;;;;;;;;;
América do Sul;    serra do cipo/mg;-43.40;-19.00;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ...;;;;;;;;;
