region,site,longitude,latitude,ref
South America,Paracatu,-47.16,-17.24,Chaves N.B. and Tidon R. (2008)
South America,Paracatu,-47.2,-17.29,Chaves N.B. and Tidon R. (2008)
South America,catalao/go,-47.38,-17.33,Chaves N.B. and Tidon R. (2008)
South America,Paracatu,-47.09,-17.33,Chaves N.B. and Tidon R. (2008)
South America,Paracatu,-47.08,-17.34,Chaves N.B. and Tidon R. (2008)
South America,catalao/go,-47.28,-17.38,Chaves N.B. and Tidon R. (2008)
South America,santa cruz/bolivia,-63.14,-17.45,Heed W.B. and Russell J.S. (1971)
South America,san ernesto/bolivia,-60.00,-18.00,Duda O. (1927)
South America,emas/go,-52.53,-18.15,Roque F. and Tidon R. (2008)
South America,camarones, -70.20,-18.30 ,Brncic D. (1987)
South America,serra do cipo/mg,-43.40,-19.00,Chaves N.B. and Tidon R. (2008)
South America,serra do cipo/mg,-43.37,-19.16,Tidon-Sklorz et al.
South America,serra do cipo,-43.35,-19.17,Tidon-Sklorz R. et al. (1994)
South America,serra do cipo,-43.35,-19.17 ,Vilela C.R. and Mori L. (1999)
South America,serra do cipo/mg,-43.34,-19.17,Tidon-Sklorz et al.
South America,serra do cipo/mg,-43.33,-19.17,Tidon-Sklorz et al.
South America,serra do cipo/mg,-43.33,-19.17,Vilela & Mori
South America,serra do cipo/mg,-43.36,-19.18,Tidon-Sklorz et al.
South America,serra do cipo/mg,-43.34,-19.18,Tidon-Sklorz et al.
South America,serra do cipo/mg,-43.33,-19.2,Vilela & Mori
South America,serra do cipo/mg,-43.38,-19.21,Tidon-Sklorz et al.
South America,serra do cipo/mg,-43.38,-19.21,Vilela & Mori
South America,Paracatu,-47.15,-19.29,Chaves N.B. and Tidon R. (2008)
South America,lagoa santa/mg,-43.55,-19.39,Chaves N.B. and Tidon R. (2008)
South America,lagoa santa/mg,-43.55,-19.39,Vilela C.R. et al. (2002)
South America,miranda/mg,-56.46,-20.05,Vilela C.R. et al. (2002)
South America,miranda/mg, -56.19,-20.10 ,Vilela C.R. et al. (2002)
South America,campo grande/ms, -54.34,-20.41,Chaves N.B. and Tidon R. (2008)
South America,campo grande/ms,-54.34,-20.41,Vilela C.R. et al. (2002)
South America,olimpia, -48.55,-20.43,Pires D.J. and Belo M. (2005)
South America,serrana/sp,-47.35,-21.13 ,Mateus R.P. et al. (2006)
South America,jaboticabal,-48.17,-21.15 ,Pires D.J. and Belo M. (2005)
South America,sao paulo estado,-48.00,-22.00 ,Tidon-Sklorz R. and Sene F.M. (1999)
South America,monte alto,-47.00,-22.00,Pires D.J. and Belo M. (2005)
South America,sao carlos/sp,-45.53,-22.03 ,Vilela C.R. et al. (2002)
South America,bela vista/ms,-56.32,-22.05,Chaves N.B. and Tidon R. (2008)
South America,bela vista/ms,-56.32,-22.05 ,Sene F.M. et al. (1980)
South America,bela vista/ms,-56.32,-22.05,Vilela C.R. et al. (2002)
South America,bela vista/ms,-56.32,-22.05,Vilela C.R. et al. (2002)
South America,caracol/ms,-56.47,-22.13 ,Chaves N.B. and Tidon R. (2008)
South America,caracol/ms, -56.47,-22.13,Vilela C.R. et al. (2002)
South America,itirapina,-47.48,-22.16,Mateus R.P. et al. (2006)
South America,brotas,-47.57,-22.17 ,Pires D.J. and Belo M. (2005)
South America,mogi-guacu/sp,-47.12,-22.17,Sene F.M. et al. (1980)
South America,mogi-guacu/sp,-47.12,-22.17,Sene F.M. et al. (1981)
South America,mogi-guacu/sp,-47.12,-22.17,Vilela C.R. et al. (2002)
South America,mogi-guacu/sp,-47.12,-22.17,Vilela C.R. et al. (2002)
South America,santa maria da serra,-48.10,-22.34,Mateus R.P. et al. (2006)
South America,barreiro rico,-48.05,-22.41 ,de Medeiros H.F. and Klaczko L.B. (2004)
South America,cabo frio/rj,-42.02,-22.56,Vilela C.R. et al. (2002)
South America,itatiba, -46.51,-22.59 ,Mateus R.P. et al. (2006)
South America,angra dos reis,-44.17,-22.59,Heed W.B. and Russell J.S. (1971)
South America,arraial do cabo/rj,-42.01,-22.59,Vilela C.R. et al. (2002)
South America,cabreuva/sp,-47.10,-23.15,Vilela C.R. et al. (2002)
South America,itu/sp, -47.18,-23.16,Vilela C.R. et al. (2002)
South America,cantareira,-46.38,-23.27,Heed W.B. and Russell J.S. (1971)
South America,jaguari/rs,-54.42,-23.30 ,Vilela C.R. et al. (2002)
South America,mogi das cruzes,-46.10,-23.30,Heed W.B. and Russell J.S. (1971)
South America,mogi das cruzes,-46.10,-23.30,Yoon J.S. (1984)
South America,mogi das cruzes,-46.10,-23.30,Yoon J.S. (1990)
South America,mogi das cruzes,-46.10,-23.30,Yoon Z. (1996)
South America,azapa/chile,-70.23,-23.37 ,Brncic D. (1962)
South America,azapa/chile,-70.23,-23.37 ,Brncic D. (1987)
South America,azapa/chile,-70.23,-23.37 ,Brncic D. and Martinez H. (1990)
South America,azapa/chile,-70.23,-23.37 ,Heed W.B. and Russell J.S. (1971)
South America,rio ligeiro/pa,-52.31,-23.37,Sene F.M. et al. (1980)
