species,region,site,longitude,latitude,ref
simulans,Asia,ugusu,138.5,34.55, Watanabe T.K. and Kawanishi M. (1976)
simulans,Asia,hirakata,135.48,34.52, Watanabe T.K. and Kawanishi M. (1978)
simulans,Asia,yugashima,139,34.52, Watanabe T.K. and Kawanishi M. (1976)
simulans,Asia,himeji,134.4,34.5, Mikasa K. (1990)
simulans,Asia,hibarigaoka,135.24,34.5, Watada M. et al. (1986)
simulans,Asia,toi,138.45,34.5, Watanabe T.K. and Kawanishi M. (1976)
simulans,Asia,otago,138.5,34.5, Watanabe T.K. and Kawanishi M. (1976)
simulans,Africa,ain draham,8.4,34.48, Jungen H. (1971)
simulans,Asia,ikeda,135.23,34.48, Watada M. et al. (1986)
simulans,Asia,inatori,139.02,34.46, Watanabe T.K. and Kawanishi M. (1976)
simulans,Asia,zhengzhou,113.38,34.45, Xu S.-H. et al. (2003)
simulans,Asia,shukugawa,135,34.44, Watada M. et al. (1986)
simulans,Asia,nishinomiya,135.22,34.44, Itoh M. et al. (2003)
simulans,Asia,matsuzaki,138.45,34.44, Watanabe T.K. and Kawanishi M. (1976)
simulans,Asia,hamamatsu,137.42,34.42, Watanabe T.K. and Kawanishi M. (1978)
simulans,Asia,nara,135.49,34.41, Morimoto K. and Sakamoto Y. (1995)
simulans,Asia,tsu,136.3,34.41, Watanabe T.K. and Kawanishi M. (1978)
simulans,Asia,okayama,133.54,34.4, Asada N. et al. (1987)
simulans,Asia,kobe,135.12,34.4, Itoh M. et al. (2003)
simulans,Asia,arai,137.36,34.4, Watanabe T.K. and Kawanishi M. (1978)
simulans,Asia,shimoda,138.55,34.4, Kawanishi M. and Watanabe T.K. (1980)
simulans,Asia,lianyungang,119.1,34.37, Xu S.-H. et al. (2003)
simulans,Asia,sakai,135.28,34.35, Watanabe T.K. and Kawanishi M. (1978)
simulans,Asia,konoshima,133.25,34.3, Asada N. and Kaneko A. (1986)
simulans,Asia,nishi-oshima,134,34.3, Asada N. and Kaneko A. (1986)
simulans,Asia,omishima,131.12,34.25, Watada M. et al. (2000)
simulans,Asia,hiroshima,132.27,34.23, Ohnishi S. and Kawanishi M. (1981)
simulans,Asia,takamatsu,134.01,34.2, Watada M. et al. (1986)
simulans,Asia,xuzhou,117.18,34.17, Xu S.-H. et al. (2003)
simulans,Asia,zentsuji,133.45,34.14, Watada M. et al. (1986)
simulans,Asia,yamaguchi,131.38,34.1, Watada M. et al. (1986)
simulans,Asia,imabari,132.59,34.04, Watada M. et al. (2000)
simulans,Asia,tokushima,134.34,34.03, Watada M. et al. (1986)
simulans,Asia,owase,136.12,34.03, Watanabe T.K. and Kawanishi M. (1978)
simulans,Africa,rabat,-6.51,34.02, Capy P. et al. (1993)
simulans,Asia,kawanoe,133.32,34.01, Watada M. et al. (2000)
simulans,Asia,tokuyama,131.4,34, Itoh M. et al. (2003)
simulans,Asia,saijyo,133.3,34, Watada M. et al. (2000)
simulans,Asia,oe,134,34, Itoh M. et al. (2003)
simulans,Asia,shimonoseki,130.58,33.59, Ohnishi S. and Kawanishi M. (1981)
simulans,Asia,hojyo,132.47,33.58, Watada M. et al. (2000)
simulans,Asia,niihama,133.15,33.57, Watada M. et al. (1986)
simulans,Asia,kokura,130.52,33.54, Lee W.H. (1978)
simulans,Africa,djerba,10.51,33.53, Biemont C. et al. (2003)
simulans,Africa,gabes,10.06,33.52, Jungen H. (1971)
simulans,Asia,kitakyushu,130.49,33.52, Watanabe T.K. and Kawanishi M. (1978)
simulans,Asia,ehime,132.36,33.51, Hoshina H. and Watada M. (2001)
simulans,Asia,bungomori,130.55,33.5, Watada M. et al. (1986)
simulans,Asia,kuma,132.4,33.5, Watada M. et al. (2000)
simulans,Asia,matsuyama,132.47,33.5, Watada M. et al. (1986)
simulans,Asia,iyo,132.42,33.43, Watada M. et al. (2000)
simulans,Asia,iyomishima,133.3,33.43, Watada M. et al. (2000)
simulans,Asia,shingu,136,33.42, Watada M. et al. (1986)
simulans,Asia,seto,134.2,33.4, Asada N. et al. (1987)
simulans,Africa,casablanca,-7.35,33.39, Capy P. et al. (1993)
simulans,Asia,kochi,133.32,33.33, Carracedo M.C. et al. (1987)
simulans,Asia,nankoku,133.37,33.33, Itoh M. et al. (2003)
simulans,Asia,dazaifu,130.29,33.32, Watada M. et al. (1986)
simulans,Asia,shonai,131.3,33.3, Itoh M. et al. (2003)
simulans,Asia,ozu,132.33,33.3, Watada M. et al. (2000)
simulans,Asia,misaki,132.08,33.27, Watada M. et al. (2000)
simulans,Asia,yawatahama,132.24,33.27, Watada M. et al. (2000)
simulans,Asia,hijikawa,132.36,33.26, Watada M. et al. (2000)
simulans,Asia,tosu,130.29,33.24, Ohnishi S. and Kawanishi M. (1981)
simulans,Asia,hiyoshi,132,33.2, Watada M. et al. (2000)
simulans,Asia,beppu,131.3,33.18, Watada M. et al. (1986)
simulans,Asia,saga,130.18,33.16, Inoue Y. (1988)
simulans,Asia,muroto,134.1,33.16, Watada M. et al. (1986)
simulans,Asia,oita,131.36,33.15, Inoue Y. (1988)
simulans,Asia,uwajima,132.32,33.13, Watada M. et al. (1986)
simulans,Asia,kubokawa,133.09,33.13, Watada M. et al. (1986)
simulans,Asia,hachijojima,139.48,33.05, Watanabe T.K. and Kawanishi M. (1978)
simulans,Asia,tanushimaru,130,33, Watada M. et al. (1986)
simulans,Asia,sukumo,132.42,32.59, Watanabe T.K. and Kawanishi M. (1978)
simulans,Asia,saiki,131.51,32.58, Ohnishi S. and Kawanishi M. (1981)
simulans,Asia,kumamoto,130.42,32.5, Ohnishi S. and Kawanishi M. (1981)
simulans,Africa,beni mellal,-6.26,32.48, Capy P. et al. (1990)
simulans,Asia,shimabara,130.2,32.48, Watada M. et al. (1986)
simulans,Asia,nagasaki,129.52,32.45, Watada M. et al. (1986)
simulans,Asia,jammu,74.54,32.43, Das A. et al. (1995)
simulans,Asia,kuchinotsu,130.1,32.38, Watanabe T.K. and Kawanishi M. (1978)
simulans,Asia,izumi,130.2,32.02, Ohnishi S. and Kawanishi M. (1981)
simulans,Asia,kobayashi,130.58,32, Itoh M. et al. (2003)
simulans,Asia,seihi,131,32, Itoh M. et al. (2003)
simulans,Asia,miyazaki,131.27,31.56, Inoue Y. (1988)
simulans,Africa,marrakech,-8,31.49, Biemont C. et al. (2003)
simulans,Asia,kagoshima,130.32,31.37, Ohnishi S. and Kawanishi M. (1981)
simulans,Africa,balteem,31.05,31.34, El-Adl A.M. et al. (1981)
simulans,Africa,essaouira,-9.48,31.3, Prevosti A. (1974)
simulans,Africa,abu-sir,30.55,31.15, Dobzhansky T. et al. (1957)
simulans,Africa,asni,-7.55,31.14, Prevosti A. (1974)
simulans,Africa,alexandria/egypt,29.55,31.13, Ali A.M.M. and El-Helw M.R. (1974)
simulans,Asia,shanghai,121.25,31.13, Xu S.-H. et al. (2003)
simulans,Africa,janakleese,30,31.1, Abou-Youssef A.Y. et al. (1983)
simulans,Africa,manzala,31.56,31.1, El-Abidin Salam A.Z et al. (1981)
simulans,Africa,el-arish,33.48,31.07, El-Adl A.M. et al. (1981)
simulans,Africa,abo-hommos,31.19,31.06, El-Abidin Salam A.Z et al. (1981)
simulans,Africa,mansura,31.23,31.03, Bachli G. et al. (1982)
simulans,Asia,tanegashima,131,31, Watanabe T.K. and Kawanishi M. (1978)
simulans,Africa,mahalla-el-kubra,31.1,30.59, Dawood M.M. (1961)
simulans,Asia,datong,117.4,30.53, Xu S.-H. et al. (2003)
simulans,Africa,gianaclis,30.09,30.51, Capy P. et al. (1993)
simulans,Africa,tanta,31,30.48, Biemont C. et al. (2003)
simulans,Africa,esmaeilia,32.16,30.35, El-Abidin Salam A.Z et al. (1981)
simulans,Asia,wuhan,114.19,30.35, Xu S.-H. et al. (2003)
simulans,Africa,agadir,-9.36,30.26, Capy P. et al. (1990)
simulans,Asia,yakushima,130.3,30.2, Watada M. et al. (1986)
simulans,Asia,hangzhou,120.07,30.18, Xu S.-H. et al. (2003)
simulans,Africa,admin,-9.3,30.15, Prevosti A. (1974)
simulans,Africa,cairo,31.15,30.03, Bachli G. et al. (1982)
simulans,Africa,domiat,30,30, El-Adl A.M. et al. (1981)
simulans,Africa,egypt,31,30, Burla H. and Bachli G. (1979)
simulans,Africa,borg-el-arab,32,30, El-Adl A.M. et al. (1981)
simulans,Asia,china,110,30, Zhang W. et al. (1996)
simulans,Asia,kume-jima,130,30, Kondo M. and Kimura M.T. (2008)
simulans,Asia,chongqing,106.35,29.3, Xu S.-H. et al. (2003)
simulans,Africa,fayum,30.5,29.19, Bachli G. et al. (1982)
simulans,Africa,siwa,25.31,29.11, Yassin A.E. and Abou-Youssef A. (2004)
simulans,Africa,beni-swef,31.05,29.05, Dobzhansky T. et al. (1957)
simulans,Asia,nanchang,115.56,28.38, Xu S.-H. et al. (2003)
simulans,Asia,delhi,77.15,28.36, Ballard J.W.O. (2004)
simulans,Africa,sinai mountains,34,28.3, Freidberg Collection (1989)
simulans,Asia,naze,129.3,28.21, Lee W.H. (1978)
simulans,Africa,agamy,30.43,28.2, Abou-Youssef A.Y. et al. (1983)
simulans,Asia,changsha,113,28.1, Xu S.-H. et al. (2003)
simulans,Asia,amami,129.3,28.1, Watada M. et al. (1986)
simulans,Asia,wenzhou,120.4,28.02, Xu S.-H. et al. (2003)
