species,region,site,longitude,latitude,ref
willistoni,South America,galapagos,-90.05,-0.5, Curran C.H. (1932)
willistoni,South America,galapagos,-90.05,-0.5, Rafael V. and Vela D. (2000)
willistoni,South America,south seymour,-89.25,-0.5, Johnson C.W. (1901)
willistoni,South America,south seymour,-89.25,-0.5, Johnson C.W. (1924)
willistoni,South America,jaton sacha,-77.5,-1, Sassi A.K. et al. (2005)
willistoni,South America,jaton sacha,-77.5,-1, Silva J.C. and Kidwell M.G. (2004)
willistoni,South America,yaguaracaca,-72,-1, Hoenigsberg H.F. et al. (1973)
willistoni,South America,marajo oriente,-49,-1, Spassky B. et al. (1971)
willistoni,South America,cape maguari,-48.3,-1, Burla H. et al. (1949)
willistoni,South America,montecristi,-80.39,-1.05, Rafael V. (2007)
willistoni,South America,belem,-48.29,-1.27, Ayala F.J. et al. (1972)
willistoni,South America,belem,-48.29,-1.27, Burla H. et al. (1949)
willistoni,South America,belem,-48.29,-1.27, Counce S.J. (1963)
willistoni,South America,belem,-48.29,-1.27, da Cunha A.B. and Dobzhansky T. (1954)
willistoni,South America,belem,-48.29,-1.27, da Cunha A.B. et al. (1950)
willistoni,South America,belem,-48.29,-1.27, da Cunha A.B. et al. (1959)
willistoni,South America,belem,-48.29,-1.27, Dobzhansky T. (1946)
willistoni,South America,belem,-48.29,-1.27, Dobzhansky T. (1965)
willistoni,South America,belem,-48.29,-1.27, Dobzhansky T. and Mayr E. (1944)
willistoni,South America,belem,-48.29,-1.27, Garcia A.C.L. et al. (2006)
willistoni,South America,belem,-48.29,-1.27, Pavan C. (1950)
willistoni,South America,belem,-48.29,-1.27, Pavan C. and Knapp E.N. (1954)
willistoni,South America,belem,-48.29,-1.27, Pavan C. et al. (1951)
willistoni,South America,belem,-48.29,-1.27, Pavan C. et al. (1957)
willistoni,South America,belem,-48.29,-1.27, Rizki M.T.M. (1955)
willistoni,South America,belem,-48.29,-1.27, Sassi A.K. et al. (2005)
willistoni,South America,belem,-48.29,-1.27, Silva J.C. and Kidwell M.G. (2004)
willistoni,South America,belem,-48.29,-1.27, Spassky B. and Dobzhansky T. (1950)
willistoni,South America,belem,-48.29,-1.27, Spassky B. et al. (1971)
willistoni,South America,belem,-48.29,-1.27, Spieth H.T. (1947)
willistoni,South America,belem,-48.29,-1.27, Spieth H.T. (1949)
willistoni,South America,belem,-48.29,-1.27, de Toledo Cardoso de Mello J. (1971)
willistoni,South America,belem,-48.29,-1.27, Townsend J.I. (1954)
willistoni,South America,belem,-48.29,-1.27, Vetukhiv M. (1954)
willistoni,South America,belem/pa,-48.29,-1.27, Robe L.J. et al. (2010)
willistoni,South America,manabi,-80.3,-1.3, Acurio A. and Rafael V. (2009)
willistoni,South America,moura/brazil,-61.38,-1.32, Spassky B. et al. (1971)
willistoni,South America,procel,-80,-2, Rafael V. et al. (2000)
willistoni,South America,salinas/ecuador,-80.58,-2.15, Rafael V. et al. (2000)
willistoni,South America,ballenita,-80.52,-2.16, Rafael V. et al. (2000)
willistoni,South America,guayas,-80.17,-2.16, Acurio A. and Rafael V. (2009)
willistoni,South America,santarem/brazil,-54.41,-2.26, Ayala F.J. et al. (1972)
willistoni,South America,santarem/brazil,-54.41,-2.26, Spassky B. et al. (1971)
willistoni,South America,sao luis/brazil,-44.16,-2.34, Cordeiro A.R. et al. (1960)
willistoni,South America,sao luis/brazil,-44.16,-2.34, de Souza H.L. et al. (1961)
willistoni,South America,sao luis/brazil,-44.16,-2.34, Spassky B. et al. (1971)
willistoni,South America,sao luis/brazil,-44.16,-2.34, de Toledo Cardoso de Mello J. (1971)
willistoni,South America,sao luiz,-44.16,-2.34, Pavan C. et al. (1957)
willistoni,South America,amapa,-58.04,-2.44, Spassky B. et al. (1971)
willistoni,South America,rosario/brazil,-44.15,-3, da Cunha A.B. et al. (1959)
willistoni,South America,rosario/brazil,-44.15,-3, Pavan C. et al. (1957)
willistoni,South America,rosario/brazil,-44.15,-3, Spassky B. et al. (1971)
willistoni,South America,fazenda salamanca,-44,-3, da Cunha A.B. et al. (1959)
willistoni,South America,manaus,-60,-3.06, Ayala F.J. and Tracey M.L. (1973)
willistoni,South America,manaus,-60,-3.06, Ayala F.J. et al. (1972)
willistoni,South America,manaus,-60,-3.06, Gleason J.M. and Powell J.R. (1997)
willistoni,South America,manaus,-60,-3.06, Griffith E.C. and Powell J.R. (1997)
willistoni,South America,manaus,-60,-3.06, Ludwig A. et al. (2003)
willistoni,South America,manaus,-60,-3.06, Martins M. (1987)
willistoni,South America,manaus,-60,-3.06, Sassi A.K. et al. (2005)
willistoni,South America,manaus,-60,-3.06, Silva J.C. and Kidwell M.G. (2004)
willistoni,South America,manaus,-60,-3.06, Spassky B. et al. (1971)
willistoni,South America,manaus,-60,-3.06, Sturtevant A.H. (1921)
willistoni,South America,manaus,-60,-3.06, de Toledo Cardoso de Mello J. (1971)
willistoni,South America,tefe,-64.45,-3.24, Ayala F.J. et al. (1972)
willistoni,South America,tefe,-64.45,-3.24, Spassky B. et al. (1971)
willistoni,South America,el oro,-79.5,-3.27, Acurio A. and Rafael V. (2009)
willistoni,South America,uraricoera,-61.05,-3.28, Perez-Salas S. (1970)
willistoni,South America,pinas,-80,-3.3, Rafael V. et al. (2000)
willistoni,South America,fordlandia,-55.3,-3.4, da Cunha A.B. and Dobzhansky T. (1954)
willistoni,South America,fordlandia,-55.3,-3.4, da Cunha A.B. et al. (1959)
willistoni,South America,chapadinha,-43.23,-3.45, de Toledo Cardoso de Mello J. (1971)
willistoni,South America,maranguape,-38.45,-3.55, Cordeiro A.R. et al. (1960)
willistoni,South America,maranguape,-38.45,-3.55, Pavan C. et al. (1957)
willistoni,South America,maranguape,-38.45,-3.55, Spassky B. et al. (1971)
willistoni,South America,maranguape,-38.45,-3.55, de Toledo Cardoso de Mello J. (1971)
willistoni,South America,loja,-79.16,-3.59, Acurio A. and Rafael V. (2009)
willistoni,South America,marco,-63,-4, Ayala F.J. (1970)
willistoni,South America,marco,-63,-4, Ayala F.J. et al. (1972)
willistoni,South America,marco,-63,-4, Hoenigsberg H.F. et al. (1973)
willistoni,South America,marco,-63,-4, Spassky B. et al. (1971)
willistoni,South America,serra maranguape,-38,-4, da Cunha A.B. et al. (1959)
willistoni,South America,leticia,-69.57,-4.09, Ayala F.J. (1970)
willistoni,South America,leticia,-69.57,-4.09, Ayala F.J. et al. (1972)
willistoni,South America,leticia,-69.57,-4.09, Spassky B. et al. (1971)
willistoni,South America,guaramiranga,-38.57,-4.16, da Cunha A.B. et al. (1959)
willistoni,South America,guaramiranga,-38.57,-4.16, Dobzhansky T. and Pavlovsky O. (1958)
