,species,region,site,longitude,latitude,ref
186,cardini,South America,itu/sp,-47.18,-23.16,Vilela C.R. et al. (2002)
187,cardini,South America,cantareira,-46.38,-23.27,Heed W.B. and Russell J.S. (1971)
188,cardini,South America,jaguari/rs,-54.42,-23.3,Vilela C.R. et al. (2002)
189,cardini,South America,mogi das cruzes,-46.1,-23.3,Heed W.B. and Russell J.S. (1971)
190,cardini,South America,mogi das cruzes,-46.1,-23.3,Yoon J.S. (1984)
191,cardini,South America,mogi das cruzes,-46.1,-23.3,Yoon J.S. (1990)
192,cardini,South America,mogi das cruzes,-46.1,-23.3,Yoon Z. (1996)
193,cardini,South America,azapa/chile,-70.23,-23.37,Brncic D. (1962)
194,cardini,South America,azapa/chile,-70.23,-23.37,Brncic D. (1987)
195,cardini,South America,azapa/chile,-70.23,-23.37,Brncic D. and Martinez H. (1990)
196,cardini,South America,azapa/chile,-70.23,-23.37,Heed W.B. and Russell J.S. (1971)
197,cardini,South America,rio ligeiro/pa,-52.31,-23.37,Sene F.M. et al. (1980)
198,cardini,South America,rio ligeiro/pa,-52.31,-23.37,Vilela C.R. et al. (2002)
199,cardini,South America,antofagasta,-70.23,-23.4,Brncic D. (1987)
200,cardini,South America,antofagasta,-70.23,-23.4,Brncic D. and Martinez H. (1990)
201,cardini,South America,boraceia/sp,-43.5,-23.4,Val F.C. and Kaneshiro K.Y. (1988)
202,cardini,South America,guaratuba/sp,-45.53,-23.5,Sene F.M. et al. (1980)
203,cardini,South America,guaratuba/sp,-45.53,-23.5,Vilela C.R. et al. (2002)
204,cardini,South America,senges,-49.23,-24.07,Mateus R.P. et al. (2006)
205,cardini,South America,peruibe/sp,-46.55,-24.14,Sene F.M. et al. (1980)
206,cardini,South America,peruibe/sp,-46.55,-24.14,Sene F.M. et al. (1981)
207,cardini,South America,peruibe/sp,-46.55,-24.14,Vilela C.R. et al. (2002)
208,cardini,South America,peruibe/sp,-46.55,-24.14,Vilela C.R. et al. (2002)
209,cardini,South America,canyon guartela,-50.18,-24.32,Mateus R.P. et al. (2006)
210,cardini,South America,eldorado/rgs,-48.08,-24.33,Napp M. and Cordeiro A.R. (1978)
211,cardini,South America,salto santa rosa,-50.33,-24.37,Mateus R.P. et al. (2006)
212,cardini,South America,la vina,-65.33,-25.3,Vilela C.R. et al. (2002)
213,cardini,South America,joinville/sc,-48.51,-26.18,Doge J.S. et al. (2008)
214,cardini,South America,tapia,-65.22,-26.32,Vilela C.R. et al. (2002)
215,cardini,South America,barra velha/sc,-48.42,-26.37,Vilela C.R. et al. (2002)
216,cardini,South America,puerto tirol,-59.1,-27.18,Vilela C.R. et al. (2002)
217,cardini,South America,ratones,-48.3,-27.27,Schmitz H.J. et al. (2007)
