species,region,site,longitude,latitude,ref
polymorpha,South America,campeche/sc,-48.29,-27.41, de Toni D.C. et al. (2007)
polymorpha,South America,campeche island,-48.28,-27.41, De Toni D.C. et al. (2001)
polymorpha,South America,santa catarina/sc,-48.3,-27.42, Brisson J.A. et al. (2005)
polymorpha,South America,ilha de compache,-48.26,-27.43, Brisson J.A. et al. (2005)
polymorpha,South America,serra do tabuleiro,-48.48,-27.44, de Toni D.C. et al. (2007)
polymorpha,South America,sertao da lagoa do peri,-48.33,-27.45, Brisson J.A. et al. (2005)
polymorpha,South America,santo angelo,-54.15,-28.17, Pavan C. (1952)
polymorpha,South America,turvo,-49.42,-28.5, De Araujo A.M. and Valente V.R.S. (1981)
polymorpha,South America,guaiba,-49.4,-28.5, Valente V.L.S. et al. (1981)
polymorpha,South America,bento goncalves,-51.34,-29.12, Franck G. and Valente V.L.S. (1985)
polymorpha,South America,sao francisco de paula,-50.31,-29.2, Petersen J.A. (1960)
polymorpha,South America,feliz,-51.12,-29.3, Pavan C. (1952)
polymorpha,South America,queimada pequena,-45,-29.3, Battaglia B. and Birch L.C. (1956)
polymorpha,South America,santa maria/rs,-53.42,-29.32, Cordeiro J. et al. (2008)
polymorpha,South America,esteio,-51.11,-29.52, Martins M.B. (2001)
polymorpha,South America,restinga/rgs,-53.25,-29.55, Napp M. and Cordeiro A.R. (1978)
polymorpha,South America,aguas do prata,-53.1,-29.55, da Cunha A.B. (1946)
polymorpha,South America,tramandai/rs,-50.13,-29.55, Sene F.M. et al. (1980)
polymorpha,South America,rio grande do sul,-52,-30, Brisson J.A. et al. (2005)
polymorpha,South America,porto alegre/rs,-51.13,-30.01, Garcia A.C.L. et al. (2009)
polymorpha,South America,morro santana,-51.19,-30.04, Cordeiro J. et al. (2008)
polymorpha,South America,itapua,-51.02,-30.26, Brisson J.A. et al. (2005)
polymorpha,South America,boca del sarandi,-55.53,-30.38, Goni B. et al. (1998)
polymorpha,South America,guaritas/rs,-53.2,-30.45, Sene F.M. et al. (1980)
polymorpha,South America,arroyo gajo,-55.59,-31.41, Goni B. et al. (1998)
polymorpha,South America,buenos aires,-58.3,-34.4, Pavan C. (1952)
polymorpha,South America,montevideo,-56.1,-34.55, Goni B. et al. (1997)
polymorpha,South America,joaquina,-48.27,-37.38, Cordeiro J. et al. (2008)
