species,region,site,longitude,latitude,ref
cardinoides,South America,olimpia, -48.55,-20.43 ,"Belo M. (1979)
cardinoides,South America,piracununga,-47.27,-21.59,Pavan C. (1952)
cardinoides,South America,sao paulo estado,-48.00,-22.00,Tidon-Sklorz R. and Sene F.M. (1999)
cardinoides,South America,sao carlos/sp,-45.53,-22.03,Sene F.M. et al. (1980)
cardinoides,South America,bela vista/ms,-56.32,-22.05,Sene F.M. et al. (1980)
cardinoides,South America,caracol/ms,-56.47,-22.13,Chaves N.B. and Tidon R. (2008)
cardinoides,South America,mogi-guacu/sp,-47.12,-22.17 ,Sene F.M. et al. (1980)
cardinoides,South America,teresopolis/rj,-43.01,-22.27,Sene F.M. et al. (1980)
cardinoides,South America,rio de janeiro, -43.17,-22.53,Frota-Pessoa O. (1952)
cardinoides,South America,jacarepagua,-43.22,-22.56,Dobzhansky T. and Pavan C. (1943)
cardinoides,South America,arraial do cabo/rj,-42.01,-22.59,Sene F.M. et al. (1980)
cardinoides,South America,mucorca,-47.00,-23.00,Pavan C. (1952)
cardinoides,South America,prata, -47.00,-23.00,Pavan C. (1952)
cardinoides,South America,cabreuva/sp,-47.10,-23.15,Sene F.M. et al. (1980)
cardinoides,South America,itu/sp,-47.18,-23.16,Sene F.M. et al. (1980)
cardinoides,South America,cantareira,-46.38,-23.27,da Cunha A.B. et al. (1953)
cardinoides,South America,jaguari/rs,-54.42,-23.30,Sene F.M. et al. (1980)
cardinoides,South America,vila atlantica,-46.30,-23.30,da Cunha A.B. et al. (1953)
cardinoides,South America,mogi das cruzes, -46.10,-23.30,Heed W.B. and Russell J.S. (1971)
cardinoides,South America,sao paulo,-46.39,-23.33,Dobzhansky T. and Pavan C. (1950)
cardinoides,South America,azapa/chile,-70.23,-23.37,Brncic D. (1957)
cardinoides,South America,rio ligeiro/pa,-52.31,-23.37,Sene F.M. et al. (1980)
cardinoides,South America,rio ivai/pa,-52.22,-23.40 ,Sene F.M. et al. (1980)
cardinoides,South America,morungava,-50.00,-23.40,Petersen J.A. (1960)
cardinoides,South America,boraceia/sp,-43.50,-23.40,Val F.C. and Kaneshiro K.Y. (1988)
cardinoides,South America,sao sebastiao/sp,-45.26,-23.48,Pavan C. (1952)
cardinoides,South America,guaratuba/sp,-45.53,-23.50 ,Sene F.M. et al. (1980)
cardinoides,South America,itanhaem,-46.47,-24.09,Pavan C. (1952)
cardinoides,South America,peruibe/sp,-46.55,-24.14,Sene F.M. et al. (1980)
cardinoides,South America,eldorado do sul, -48.08,-24.33,Rohde C. and Valente V.L.S. (1996)
cardinoides,South America,iporanga,-48.38,-24.34,Dobzhansky T. and Pavan C. (1943)
cardinoides,South America,lambedor,-50.00,-25.00,Pavan C. (1952)
cardinoides,South America,ponta grossa/rgs,-50.09,-25.07,Pavan C. (1952)
cardinoides,South America,morretes, -48.49,-25.29,Pavan C. (1952)
cardinoides,South America,iguacu,-54.22,-25.35,Pavan C. (1952)
cardinoides,South America,joinville/sc,-48.51,-26.18,Doge J.S. et al. (2008)
cardinoides,South America,barra velha/sc, -48.42,-26.37,Sene F.M. et al. (1980)
cardinoides,South America,tucuman,-65.15,   -26.47 ,Pavan C. (1952)
cardinoides,South America,arvoredo, -52.41,-27.14,de Toni D.C. et al. (2007)
cardinoides,South America,puerto tirol,-59.10,-27.18,Vilela C.R. et al. (2002)
cardinoides,South America,lagoa da conceicao, -48.21,-27.18,de Toni D.C. and Hofmann P.R.P. (1995)
cardinoides,South America,ratones,-48.30,-27.27,Schmitz H.J. et al. (2007)
cardinoides,South America,resistencia,-59.00,-27.28 ,Vilela C.R. et al. (2002)
cardinoides,South America,ratones grande,-48.37,-27.29,de Toni D.C. et al. (2007)
cardinoides,South America,florianopolis/sc,-48.32,-27.35 ,Gottschalk M.S. et al. (2007)
cardinoides,South America,florianopolis,-48.31,-27.35,Cordeiro J. et al. (2008)
cardinoides,South America,campeche/sc,-48.29,-27.41,de Toni D.C. et al. (2007)
cardinoides,South America,santa catarina/sc,-48.30,-27.42,Cordeiro J. et al. (2008)
cardinoides,South America,salitre,-50.00,-28.00,Pavan C. (1952)
cardinoides,South America,santo angelo, -54.15,-28.17 ,Pavan C. (1952)
cardinoides,South America,"    turvo, . , ",-49.42,-28.50,De Araujo A.M. and Valente V.R.S. (1981)
cardinoides,South America,guaiba,-49.40,-28.50 ,Saavedra C.C.R. et al. (1995)
cardinoides,South America,bento goncalves,-51.34,-29.12 ,Saavedra C.C.R. et al. (1995)
cardinoides,South America,sao francisco de paula, -50.31,-29.20,Petersen J.A. (1960)
cardinoides,South America,esteio,-51.11,-29.52, Martins M.B. (2001)
cardinoides,South America,tramandai/rs,-50.13,-29.55,Sene F.M. et al. (1980)
cardinoides,South America,porto alegre/rs,-51.13,-30.01,Robe L.J. et al. (2010)
cardinoides,South America,morro santana,-51.19,-30.04,Cordeiro J. et al. (2008)
cardinoides,South America,guaritas/rs,-53.20,-30.45,Sene F.M. et al. (1980)
cardinoides,,,,,Yoon Z. (1996)
cardinoides,Central America,madden forest,,, Pipkin S.B. (1965)
cardinoides,,,,, Heed W.B. and Russell J.S. (1971)
cardinoides,,,,, Napp M. and Cordeiro A.R. (1981)
cardinoides,,,,, Yoon J.S. (1984)
cardinoides,,,,, Pipkin S.B. (1965)
cardinoides,,,,, Sevenster J.G. (1992)
cardinoides,,,,, Sevenster J.G. and van Alphen J.J.M. (1993)
cardinoides,,,,, Stalker H.D. (1953)
cardinoides,,,,, Pipkin S.B. et al. (1966)
cardinoides,,,,, Pipkin S.B. (1965)
cardinoides,,,,, Yoon J.S. (1984)
cardinoides,,,,, Yoon J.S. (1990)
cardinoides,,,,, Yoon Z. (1996)
cardinoides,,,,,Yoon J.S. (1984)
cardinoides,,,,,Yoon J.S. (1990)
cardinoides,,,,,Yoon Z. (1996)
cardinoides,,,,,Napp M. and Cordeiro A.R. (1981)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Rafael V. and Vela D. (2000)
cardinoides,,,,,Napp M. and Cordeiro A.R. (1981)
cardinoides,,,,,Pavan C. (1952)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Streisinger G. (1946)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Napp M. and Cordeiro A.R. (1981)
cardinoides,,,,,Castro F.L. and Valente V.L.S. (2001)
cardinoides,,,,,Garcia A.C. et al. (2008)
cardinoides,,,,,Rohde C. and Valente V.L.S. (1996)
cardinoides,,,,,Rohde C. and Valente V.L.S. (1996)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Pilares G. L.V. and vasquez E. J.A. (1977)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Vilela C.R. et al. (2002)
cardinoides,,,,,Sene F.M. et al. (1980)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Ferreira L.B. and Tidon R. (2005)
cardinoides,,,,,Roque F. et al. (2006)
cardinoides,,,,,Sene F.M. et al. (1980)
cardinoides,,,,,Vilela C.R. et al. (2002)
cardinoides,,,,,Cahaves N.B. and Tidon R. (2005)
cardinoides,,,,,Roque et al.
cardinoides,,,,,Chaves N.B. and Tidon R. (2008)
cardinoides,,,,,Pavan C. (1952)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Chaves N.B. and Tidon R. (2008)
cardinoides,,,,,Brncic D. and Martinez H. (1990)
cardinoides,,,,,Vilela C.R. and Mori L. (1999)
cardinoides,,,,,Tidon-Sklorz et al.
cardinoides,,,,,Hsu T.C. (1949)
cardinoides,,,,,Streisinger G. (1946)
cardinoides,,,,,Sene F.M. et al. (1980)
cardinoides,,,,,Sene F.M. et al. (1980)
cardinoides,,,,,Vilela C.R. et al. (2002)
cardinoides,,,,,Belo M. and Gallo A.J. (1977)
cardinoides,,,,,Belo M. and Lemos M.V.F. (1978)
cardinoides,,,,,Belo M. and de Oliveira J.J. (1976)
cardinoides,,,,,"Belo M. and de Oliveira J.J. (1978)
cardinoides,,,,,Pavan C. (1959)
cardinoides,,,,,Vilela C.R. et al. (2002)
cardinoides,,,,,Sene F.M. et al. (1980)
cardinoides,,,,,Vilela C.R. et al. (2002)
cardinoides,,,,,Sene F.M. et al. (1981)
cardinoides,,,,,Vilela C.R. et al. (2002)
cardinoides,,,,,Vilela C.R. et al. (2002)
cardinoides,,,,,Sene F.M. et al. (1980)
cardinoides,,,,,Pavan C. (1959)
